,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Activity,Passage,Type of Translation,Source Language,Target Language,Topic / Domain ,,,,,,,,,,,,,,,,,,,,
1,Translation,"""…I have not reviewed the scan results yet but from my initial observations, there are dark spots on the lungs and on the left breast, indicating the possibility that there might be tumors. There might not be tumors. But if it turns out that there are, like I suspect, then I will have to determine if the tumors are cancerous or non-cancerous. And if they are cancerous, are they malignant or benign. And if they are malignant, are they terminal or non-terminal...""","1. Literal  Translation                                 2. Semantic Translation - Example 1 - ""He kicked the bucket""                                            Example 2 -  ""She took a rain check""                                    3. Contextual",Example - English,Example - Hausa / Twi / Bakweri / Yoruba / Igbo / Swahili,Medical,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Activity,Passage/Text,Type of Translation,Source Language,Target Language,Topic / Domain ,Sentence Token,Sub Sentence Token,Word Token,Letter Token,Part-of-Speech - Source Language,Part-of-Speech - Target Language,Untranslatable Words,Direct Translation Possible?,Contextual Translation,Dictionary,Expression,Agglutinated words/Concatenated words,Modular Translation,Translation - Med. Prof.,Translation - Reg. People,Full Translation - Nigerian Pidgin,,,,
1,Translation,"""…I have not reviewed the scan results yet but from my initial observations, there are dark spots on the lungs and on the left breast, indicating the possibility that there might be tumors. There might not be tumors. But if it turns out that there are, like I suspect, then I will have to determine if the tumors are cancerous or non-cancerous. And if they are cancerous, are they malignant or benign. And if they are malignant, are they terminal or non-terminal...""",A mix of literal and contextual depending on the audience                       ,Example - English,Pidgin English,Medical Document,"1. 1 - I have not reviewed the scan results yet but from my initial observations, 
there are dark spots on the lungs and on the left breast, indicating the possibility that there might be tumors.

1. 2 - There might not be tumors

1. 3  - But if it turns out that there are, like I suspect, then I will have to determine if the tumors are cancerous or non-cancerous.

1. 4 - if they are cancerous, are they malignant or benign

1.5 - .And if they are malignant, are they terminal or non-terminal","1.1a - I have not reviewed the scan results yet

1.1b - but from my initial observations,

1.1c - there are dark spots on the lungs and on the left breast,

1.1d - indicating the possibility that there might be tumors.

1.2 - There might not be tumors. 

1. 3a - But if it turns out that there are, like I suspect, 

1. 3b - then I will have to determine if the tumors are cancerous or non-cancerous. 

1.4 - And if they are cancerous, are they malignant or benign. 

1. 5 - And if they are malignant, are they terminal or non-terminal...""","1.1a - I
1.1b - have
1.1c - Not
1.1d - Reviewed
1.1e - The
1.1f - Scan
1.1g - Results
1.1h - Yet
1.1i  - But
1.1j - From 
1.1k - My 
1.1l - Initial 
1.1m - Observations 
1.1n - There 
1.1o - Are 
1.1p - Dark 
1.1q - Spots 
1.1r - On 
1.1s - The 
1.1t - Lungs 
1.1u - And 
1.1v - On 
1.1w - The 
1.1x - Left 
1.1y - Breast, 
1.1z - Indicating 
1.1aa - The 
1.1ab - Possibility 
1.1ac - That 
1.1ad - Here 
1.1ae - Might 
1.1af - Be 
1.1ag - Tumors

1.2a - There
1.2b - Might
1.2c - Not
1.2d - Be
1.2e - Tumors

1.3a - But
1.3b - If
1.3c - It
1.3d - Turns
1.3e - Out
1.3f - That
1.3g - There
1.3h - Are
1.3i - Like
1.3j - I
1.3k - Suspect
1.3l - Then
1.3m - I
1.3n - Will
1.3o - Have
1.3p - To
1.3q - Determine
1.3r - If
1.3s - The
1.3t - Tumors
1.3u - Are
1.3v - Cancerous
1.3w - Or
1.3x - Non
1.3y - Cancerous

1.4a - If
1.4b - They
1.4c - Are
1.4d - Cancerous
1.4e - Are
1.4f - They
1.4g - Malignant
1.4h - Or
1.4i - Benign

1.5a - And
1.5b - If
1.5c - They
1.5d - Are
1.5e - Malignant
1.5f - Are
1.5g - They
1.5h - Terminal
1.5i - Or
1.5j - Non-Terminal",,"1.1a - I  - (Pronoun)
1.1b - have - (Auxiliary verb)
1.1c - Not - (Adverb - Negation)
1.1d - Reviewed - (Verb)
1.1e - The - (Article)
1.1f - Scan - (Noun)
1.1g - Results - (Noun)
1.1h - Yet - (Adverb)
1.1i - But – (Conjunction) 
1.1j - From – (Preposition) 
1.1k - My – (Pronoun) 
1.1l - Initial – (Adjective) 
1.1m - Observations – (Noun) 
1.1n - There – (Adverb)
1.1o - Are – (Verb)
1.1p - Dark – (Adjective) 
1.1q - Spots – (Noun) 
1.1r - On – (Preposition) 
1.1s - The – (Article) 
1.1t - Lungs – (Noun) 
1.1u - And – (Conjunction) 
1.1v - On – (Preposition) 
1.1w - The – (Article) 
1.1x - Left – (Adjective) 
1.1y - Breast, - (Noun) 
1.1z - Indicating – (Verb)
1.1aa - The – (Article) 
1.1ab - Possibility – (Noun) 
1.1ac - That – (Conjunction) 
1.1ad - Here – (Adverb) 
1.1ae - Might – (Auxiliary Verb) 
1.1af - Be – (Verb) 
1.1ag - Tumors – (Noun)

1.2a - There – (Adverb) 
1.2b - Might – (Auxiliary Verb) 
1.2c - Not – (Adverb) 
1.2d - Be – (Verb) 
1.2e - Tumors – (Noun)

1.3a - But – (Conjunction) 
1.3b - If – (Conjunction) 
1.3c - It – (Pronoun) 
1.3d - Turns – (Verb) 
1.3e - Out – (Adverb) 
1.3f - That – (Conjunction) 
1.3g - There – (Adverb) 
1.3h - Are – (Verb) 
1.3i - Like – (Conjunction) 
1.3j - I – (Pronoun) 
1.3k - Suspect – (Verb) 
1.3l - Then – (Adverb) 
1.3m - I – (Pronoun) 
1.3n - Will – (Auxiliary Verb)  
1.3o - Have – (Verb) 
1.3p - To – (Preposition/Infinitive Marker) 
1.3q - Determine – (Verb) 
1.3r - If – (Conjunction) 
1.3s - The – (Article) 
1.3t - Tumors – (Noun)
 1.3u - Are – (Verb) 
1.3v - Cancerous – (Adjective) 
1.3w - Or – (Conjunction) 
1.3x - Non – (Adjective) 
1.3y - Cancerous – (Adjective)

1.4a - If (Conjunction)
1.4b - They (Pronoun)
1.4c - Are (Verb)
1.4d - Cancerous (Adjective)
1.4e - Are (Verb)
1.4f - They (Pronoun)
1.4g - Malignant (Adjective)
1.4h - Or (Conjunction)
1.4i - Benign (Adjective)

1.5a - And (Conjunction)
1.5b - If (Conjunction)
1.5c - They (Pronoun)
1.5d - Are (Verb)
1.5e - Malignant (Adjective)
1.5f - Are (Verb)
1.5g - They (Pronoun)
1.5h - Terminal (Adjective)
1.5i - Or (Conjunction)
1.5j - Non-Terminal (Adjective)","1.1a - I (Pronoun) 
1.1b - neva (Adverb) 
1.1c - chook (Verb) 
1.1d - eye (Noun) 
1.1e - for (Preposition) 
1.1f - de (Article) 
1.1g - scan (Adjective) 
1.1h - result (Noun) 
1.1i - finish (Adverb) 
1.1j - but (Conjunction) 
1.1k - as (Preposition) 
1.1l - for (Preposition) 
1.1m - de (Article) 
1.1n - first (Adjective) 
1.1o - eye (Noun) 
1.1p - wey (Pronoun) 
1.1q - i (Pronoun) 
1.1r - take (Verb) 
1.1s - luk (Verb) 
1.1t - am (Pronoun) 
1.1u - e (Pronoun) 
1.1v - get (Verb) 
1.1w - some (Adjective) 
1.1x - dark (Adjective) 
1.1y - spots (Noun) 
1.1z - for (Preposition) 
1.1aa - de (Article) 
1.1ab - two (Adjective) 
1.1ac - lungs (Noun) 
1.1ad - and (Conjunction) 
1.1ae - for (Preposition) 
1.1af - de (Article) 
1.1ag - breast (Noun) 
1.1ah - wey (Pronoun) 
1.1ai - dey (Verb) 
1.1aj - left (Adjective) 
1.1ak - side, (Noun) 
1.1al - meaning (Verb) 
1.1am - sey (Conjunction) 
1.1an - e (Pronoun) 
1.1ao - fit (Verb) 
1.1ap - be (Verb) 
1.1aq - swelling/tumor (Noun) 
1.1ar - na (Verb) 
1.1as - im (Pronoun) 
1.1at - dey (Verb) 
1.1au - dia. (Adverb)

1.2a - E (Pronoun) 
1.2b - fit (Verb) 
1.2c - be (Verb) 
1.2d - say (Conjunction) 
1.2e - swelling/tumor (Noun) 
1.2f - no (Adverb) 
1.2g - dey (Verb) 
1.2h - dia. (Adverb)

1.3a - But (Conjunction) 
1.3b - if (Conjunction) 
1.3c - e (Pronoun) 
1.3d - come (Verb) 
1.3e - be (Verb) 
1.3f - say (Conjunction) 
1.3g - de (Article) 
1.3h - tumor/swelling (Noun) 
1.3i - dey (Verb) 
1.3j - dia, (Adverb) 
1.3k - as (Conjunction) 
1.3l - i (Pronoun) 
1.3m - dey (Verb) 
1.3n - reason (Verb) 
1.3o - am, (Pronoun) 
1.3p - wetin (Pronoun) 
1.3q - go (Verb) 
1.3r - happen (Verb) 
1.3s - be (Verb) 
1.3t - sey (Conjunction) 
1.3u - we (Pronoun) 
1.3v - go (Verb) 
1.3w - check (Verb) 
1.3x - whether (Conjunction) 
1.3y - de (Article) 
1.3z - tumor/swelling (Noun) 
1.3aa - dey (Verb) 
1.3ab - cause (Verb) 
1.3ac - cancer (Noun) 
1.3ad - abi (Conjunction) 
1.3ae - e (Pronoun) 
1.3af - no (Adverb) 
1.3ag - dey (Verb) 
1.3ah - cause (Verb) 
1.3ai - cancer. (Noun)

1.4a - If (Conjunction) 
1.4b - de (Article) 
1.4c - tumor (Noun) 
1.4d - or (Conjunction) 
1.4e - swelling (Noun) 
1.4f - na (Verb) 
1.4g - de (Article) 
1.4h - type (Noun) 
1.4i - wey (Pronoun) 
1.4j - dey (Verb) 
1.4k - cause (Verb) 
1.4l - cancer, (Noun) 
1.4m - de (Article) 
1.4n - cancer (Noun) 
1.4o - na (Verb) 
1.4p - de (Article) 
1.4q - type (Noun) 
1.4r - wey (Pronoun) 
1.4s - dey (Verb) 
1.4t - dangerous (Adjective) 
1.4u - abi (Conjunction) 
1.4v - na (Verb) 
1.4w - de (Article) 
1.4x - type (Noun) 
1.4y - wey (Pronoun) 
1.4z - no (Adverb) 
1.4aa - dey (Verb) 
1.4ab - dangerous (Adjective)

1.5a - and (Conjunction) 
1.5b - if (Conjunction) 
1.5c - e (Pronoun) 
1.5d - dey (Verb) 
1.5e - dangerous (Adjective) 
1.5f - na (Verb) 
1.5g - de (Article) 
1.5h - type (Noun) 
1.5i - wey (Pronoun) 
1.5j - go (Verb) 
1.5k - kill (Verb) 
1.5l - abi (Conjunction) 
1.5m - na (Verb) 
1.5n - de (Article) 
1.5o - type (Noun) 
1.5p - wey (Pronoun) 
1.5q - no (Adverb) 
1.5r - go (Verb) 
1.5s - kill (Verb)","1.1 - Scan

1.4 -Tumor 

1.5 - Tumor

1.7 - Cancerous (Cancer)

1.8a - Malignant 

1.8b Benign","1.1 - Scan - Yes(Pidgin), No(vernacular)

1. 4 - Tumor -Yes(Pidgin), No(Vernacular)

1.5 -  Yes(Pidgin), No(vernacular)

1.7 - Cancerous  Yes(Pidgin), No(vernacular)

1.8a - Malignant  No(pidgin & vernacular)

1.8b -Benign  No (pidgin & vernacular)
","1.1 - I neva chook eye 
Meaning: Haven't  reviewed

1. 4 - Tumor -No(Vernacular)

1. 5 - No(vernacular)

1.7 - Cancerous  No(vernacular)

1.8a - Malignant  No(pidgin & vernacular) 
""…. If de tumor or swelling na de type wey dey cause cancer, de cancer na de type wey dey kill or de type wey no dey kill?

1.8b -Benign  No (pidgin & vernacular)","1.1 - Chook
Meaning: Look (Verb)

1.2 - Wey
Meaning: 

1.3 - Dey

1.4a - Sey

1.4b - e

1.4c - Na

1.4d - Im

1.7a - Wetin

1.7b - Abi",,,"1.1 - I have not reviewed the scan results yet
""... I neva chook eye for de scan result finish

1.2 - but from my initial observations,
""... but as for de first eye wey i take luk am

1.3 - there are dark spots on the lungs and on the left breast,
""... e get some dark spots for de two lungs and for de breast wey dey left side

1.4 - indicating the possibility that there might be tumors.
""... meaning sey e fit be swelling/tumor na im dey dia

1.5 - There might not be tumors. 
"".... e fit be say swelling/tumor no dey dia

1.6 - But if it turns out that there are, like I suspect, 
""....  but if e come be say de tumor/swelling dey dia as i dey reason am

1. 7 - then I will have to determine if the tumors are cancerous or non-cancerous. 
""....  wetin go happen be sey we go check whether de tumor/swelling dey cause cancer abi e no dey cause cancer

1. 8 - And if they are cancerous, are they malignant or benign. 
…. If de tumor or swelling na de type wey dey cause cancer, de cancer na de type wey dey dangerous abi na de type wey no dey dangerous

1. 9 - And if they are malignant, are they terminal or non-terminal...""
""... and if e dey dangerous , na de type wey go kill abi na de type wey no go kill","1.1 -  I neva really check dat your scan result

1.2 - but I dey feel say

1.3 - you get dak spot for your lungs, even for your left breast,

1.4 - and dat one mean say you get tumor.

1.5 -  e possible say tumor no dey oo

1.6 - but if say tumor dey der as i dey feel,

1.7 - den i go need confirm weda e dey cancerous or not ,

1.8 - and if e dey cancerous, i go check to see if na the one grow fast or not,

1.9  - and if e dey grow fast, i go check weda e dey kill person or not.","1.1 -  I neva chook eye for de scan result finish.

1.2 - but as for de first eye wey i take luk am,

1.3 - e get some dark spots for de two lungs and for de breast wey dey left side,

1.4 - meaning sey e fit be swelling/tumor na im dey dia.

1.5 -  e fit be say swelling/tumor no dey dia

1.6 - but if e come be say de tumor/swelling dey dia as i dey reason am,

1.7 - wetin go happen be sey we go check whether de tumor/swelling dey cause cancer abi e no dey cause cancer ,

1.8 - If de tumor or swelling na de type wey dey cause cancer, de cancer na de type wey dey dangerous abi na de type wey no dey dangerous,

1.9  - and if e dey dangerous , na de type wey go kill abi na de type wey no go kill.","... I neva chook eye for de scan result finish but  as for de first eye wey i take luk am, e get some dark spots for de two lungs and for de breast wey dey left side, meaning sey e fit be swelling/tumor na im dey dia. E fit be say swelling/tumor no dey dia. But if e come be say de tumor/swelling dey dia, as i dey reason am, wetin go happen be sey we go check whether de tumor/swelling dey cause cancer abi e no dey cause cancer. If de tumor or swelling na de type wey dey cause cancer, de cancer na de type wey dey dangerous abi na de type wey no dey dangerous and if e dey dangerous , na de type wey go kill abi na de type wey no go kill",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Activity,Passage/Text,Type of Translation,Source Language,Target Language,Topic / Domain ,Sentence Token,Sub Sentence Token,Word Token,Letter Token,Part-of-Speech - Source Language,Part-of-Speech - Target Language,Untranslatable Words,Direct Translation Possible?,Contextual Translation,Dictionary,Expression,Agglutinated words/Concatenated words,Modular Translation,Translation - Med. Prof.,Translation - Reg. People,Full Translation - Nigerian Pidgin,,,,
2,Translation,"""…Statistics do not lie. My sample size is 100 and it is from a total population size of 1000. I broke the 1000 population into 25 sub clusters and picked 4 samples from each cluster. So my sampling methodology is accurate. I even adjusted my results for standard deviation. I can infer from the results that my team obtained, that the rains will come early this year and that there will be a bumper harvest in areas bordering the sub Sahel regions of Ghana, Togo, Benin, Nigeria and Cameroon...""",A mix of literal and contextual depending on the audience                       ,English,Pidgin English,Statistical Report,"2. 1 - Statistics do not lie.

2. 2 -  My sample size is 100 and it is from a total population size of 1000.

 2. 3 - I broke the 1000 population into 25 sub clusters and picked 4 samples from each cluster.


2. 4 - So my sampling methodology is accurate.

2. 5 - I even adjusted my results for standard deviation.

2. 6 - I can infer from the results that my team obtained, that the rains will come early this year and that there will be a bumper harvest in areas bordering the sub Sahel regions of Ghana, Togo, Benin, Nigeria and Cameroon.","2.1 - Statistics do not lie.

2.2 - My sample size is 100 and it is from a total population size of 1000.

2.3 - I broke the 1000 population into 25 sub clusters and picked 4 samples from each cluster

2.4 - So my sampling methodology is accurate.

2.5 - I even adjusted my results for standard deviation. 

2.6 - I can infer from the results that my team obtained, 

2. 7 - that the rains will come early this year 

2. 8 - and that there will be a bumper harvest

2. 9 - in areas bordering the sub Sahel regions of Ghana, Togo, Benin, Nigeria and Cameroon...""","2.1a - Statistics 
2.1b - Do 
2.1c - Not 
2.1d – Lie

2.2a - My 
2.2b - Sample 
2.2c - Size 
2.2d - Is 
2.2e - 100 
2.2f - And 
2.2g - It 
2.2h – Is
 2.2i - From 
2.2j - A 
2.2k - Total 
2.2l - Population 
2.2m - Size 
2.2n - Of 
2.2o – 1000

2.3a - I 
2.3b - Broke 
2.3c - The 
2.3d - 1000 
2.3e - Population 
2.3f - Into 
2.3g - 25 
2.3h - Sub 
2.3i - Clusters 
2.3j - And 
2.3k - Picked 
2.3l - 4 
2.3m - Samples 
2.3n - From 
2.3o - Each 
2.3p – Cluster

2.4a - So 
2.4b - My 
2.4c - Sampling 
2.4d - Methodology 
2.4e - Is 
2.4f – Accurate

2.5a - I 
2.5b - Even 
2.5c - Adjusted 
2.5d - My 
2.5e - Results 
2.5f - For 
2.5g - Standard 
2.5h – Deviation

2.6a - I 
2.6b - Can 
2.6c - Infer 
2.6d - From 
2.6e - The 
2.6f - Results 
2.6g - That 
2.6h - My 
2.6i - Team 
2.6j – Obtained

2.7a - That 
2.7b - The 
2.7c - Rains 
2.7d - Will 
2.7e - Come 
2.7f - Early 
2.7g - This 
2.7h – Year

2.8a - And 
2.8b - That 
2.8c - There 
2.8d - Will 
2.8e - Be 
2.8f - A 
2.8g - Bumper 
2.8h – Harvest

2.9a - In 
2.9b - Areas 
2.9c - Bordering 
2.9d - The 
2.9e - Sub 
2.9f - Sahel 
2.9g - Regions 
2.9h - Of 
2.9i - Ghana
2.9j - Togo
2.9k - Benin 
2.9l - Nigeria 
2.9m - And 
2.9n - Cameroon
",,"2.1a - Statistics (Noun) 
2.1b - do (Verb) 
2.1c - not (Adverb) 
2.1d - lie. (Verb)

2.2a - My (Pronoun) 
2.2b - sample (Adjective) 
2.2c - size (Noun) 
2.2d - is (Verb) 
2.2e - 100 (Noun) 
2.2f - and (Conjunction) 
2.2g - it (Pronoun) 
2.2h - is (Verb) 
2.2i - from (Preposition) 
2.2j - a (Article) 
2.2k - total (Adjective) 
2.2l - population (Noun) 
2.2m - size (Noun) 
2.2n - of (Preposition) 
2.2o - 1000. (Noun)

2.3a - I (Pronoun) 
2.3b - broke (Verb) 
2.3c - the (Article) 
2.3d - 1000 (Adjective) 
2.3e - population (Noun) 
2.3f - into (Preposition) 
2.3g - 25 (Adjective) 
2.3h - sub (Adjective) 
2.3i - clusters (Noun) 
2.3j - and (Conjunction) 
2.3k - picked (Verb) 
2.3l - 4 (Adjective) 
2.3m - samples (Noun) 
2.3n - from (Preposition) 
2.3o - each (Adjective) 
2.3p - cluster (Noun)

2.4a - So (Conjunction) 
2.4b - my (Pronoun) 
2.4c - sampling (Adjective) 
2.4d - methodology (Noun) 
2.4e - is (Verb) 
2.4f - accurate. (Adjective)

2.5a - I (Pronoun) 
2.5b - even (Adverb) 
2.5c - adjusted (Verb) 
2.5d - my (Pronoun) 
2.5e - results (Noun) 
2.5f - for (Preposition) 
2.5g - standard (Adjective) 
2.5h - deviation. (Noun)

2.6a - I (Pronoun) 
2.6b - can (Verb) 
2.6c - infer (Verb) 
2.6d - from (Preposition) 
2.6e - the (Article) 
2.6f - results (Noun) 
2.6g - that (Pronoun) 
2.6h - my (Pronoun) 
2.6i - team (Noun) 
2.6j - obtained, (Verb)

2.7a - that (Conjunction) 
2.7b - the (Article) 
2.7c - rains (Noun) 
2.7d - will (Verb) 
2.7e - come (Verb) 
2.7f - early (Adverb) 
2.7g - this (Adjective) 
2.7h - year (Noun)

2.8a - and (Conjunction) 
2.8b - that (Conjunction) 
2.8c - there (Pronoun) 
2.8d - will (Verb) 
2.8e - be (Verb) 
2.8f - a (Article) 
2.8g - bumper (Adjective) 
2.8h - harvest (Noun)

2.9a - in (Preposition) 
2.9b - areas (Noun) 
2.9c - bordering (Verb) 
2.9d - the (Article) 
2.9e - sub (Adjective) 
2.9f - Sahel (Noun) 
2.9g - regions (Noun) 
2.9h - of (Preposition) 
2.9i - Ghana, (Noun) 
2.9j - Togo, (Noun) 
2.9k - Benin, (Noun) 
2.9l - Nigeria (Noun) 
2.9m - and (Conjunction) 
2.9n - Cameroon (Noun)","2.1a - Statistics (Noun) 
2.1b - No (Adverb) 
2.1c - Dey (Verb) 
2.1d - Lie. (Verb)

2.2a - My (Pronoun) 
2.2b - Sample (Adjective) 
2.2c - Size (Noun) 
2.2d - Na (Verb) 
2.2e - 100 (Noun) 
2.2f - And (Conjunction) 
2.2g - E (Pronoun) 
2.2h - Com (Verb) 
2.2i - From (Preposition) 
2.2j - Total (Adjective) 
